Edges,Triangles,Count
24,14,297391342500
24,15,473354955360
24,16,597377242665
24,17,617244906600
24,18,538379723700
24,19,409821883800
24,20,277008720870
24,21,167079575880
24,22,91150307400
24,23,45422559000
24,24,21062065500
24,25,9351397440
24,26,3890434380
24,27,1593576600
24,28,696515400
24,29,236355000
24,30,71811180
24,31,32976720
24,32,11666025
24,33,3969000
24,34,365400
24,35,325920
24,36,329610
24,38,12600
25,0,126
25,4,28350
25,5,37800
25,6,152460
25,7,1209600
25,8,5688900
25,9,22289400
25,10,119442960
25,11,529169760
25,12,2437000020
25,13,10049848200
25,14,35161131600
25,15,96880512960
25,16,209498064930
25,17,351690436440
25,18,469316773800
25,19,510756031800
25,20,470065477140
25,21,376890937920
25,22,268503291000
25,23,171811117800
25,24,98916459075
25,25,51676017120
25,26,25405030980
25,27,11433328200
25,28,4998089250
25,29,2223522000
25,30,923835780
25,31,323643600
25,32,161314965
25,33,45511200
25,34,16795800
25,35,4009320
25,36,4079250
25,37,189000
25,38,233100
25,39,75600
25,40,40320
25,41,12600
26,5,2520
26,8,110250
26,9,352800
26,10,1512000
26,11,7686000
26,12,40625550
26,13,182019600
26,14,876342600
26,15,3934700280
26,16,15296348340
26,17,47213235720
26,18,114338435400
26,19,214458418440
26,20,317349722340
26,21,378097962480
26,22,377417415060
26,23,326400883200
26,24,249408790470
26,25,171432434880
26,26,105538266540
26,27,59520540240
26,28,30619631700
26,29,14422161600
26,30,6638433480
26,31,3032847720
26,32,1244963160
26,33,515075400
26,34,245754180
26,35,74153520
26,36,37663920
26,37,11367720
26,38,1505700
26,39,1897560
26,40,685440
26,41,214200
26,44,9450
26,45,7560
27,10,23940
27,12,267750
27,13,1377600
27,14,7276500
27,15,34713000
27,16,183490650
27,17,884192400
27,18,4083151800
27,19,15147044640
27,20,44062721220
27,21,98771349600
27,22,172152387960
27,23,236923577520
27,24,266647935960
27,25,255303805680
27,26,214876116000
27,27,160653140200
27,28,108549590940
27,29,66100037640
27,30,36687438900
27,31,18561228000
27,32,9036311970
27,33,4072730760
27,34,1744404480
27,35,829344600
27,36,322345800
27,37,169006320
27,38,39662280
27,39,27734280
27,40,7549920
27,41,3616200
27,42,630000
27,44,160650
27,45,128520
27,50,1260
28,15,141120
28,16,452970
28,17,2998800
28,18,20065500
28,19,102022200
28,20,544191480
28,21,2681172000
28,22,10127035800
28,23,29594098800
28,24,66139196130
28,25,112992785640
28,26,153280111320
28,27,170462086200
28,28,161726317200
28,29,136115894880
28,30,102339190800
28,31,68809582800
28,32,42169032675
28,33,23444782200
28,34,12088729800
28,35,5692645800
28,36,2609485830
28,37,1231549200
28,38,510029100
28,39,217090440
28,40,93129120
28,41,47761560
28,42,19964700
28,43,3679200
28,44,1839600
28,45,1126440
28,46,393120
28,50,21420
28,56,45
29,20,1089900
29,21,3936240
29,22,32130000
29,23,189667800
29,24,1045985850
29,25,4468746240
29,26,14215929840
29,27,34081450200
29,28,61469220150
29,29,86302881000
29,30,98988132600
29,31,96633318600
29,32,83036177280
29,33,63775215000
29,34,44021898900
29,35,27629700480
29,36,15453376470
29,37,8054996040
29,38,3986967600
29,39,1770274800
29,40,847965195
29,41,311759280
29,42,195458580
29,43,61147800
29,44,24595200
29,45,14719320
29,46,7305480
29,47,1524600
29,48,680400
29,50,103320
29,51,68040
29,56,765
30,24,378000
30,25,4453344
30,26,30528120
30,27,210083160
30,28,1171251900
30,29,4440655800
30,30,12795966540
30,31,26285899920
30,32,41321823690
30,33,51040319400
30,34,53083125900
30,35,48200720040
30,36,38715339600
30,37,27927867240
30,38,18036370800
30,39,10714208400
30,40,5741919750
30,41,2763448800
30,42,1292440860
30,43,628185600
30,44,253024800
30,45,120456000
30,46,47027820
30,47,24711120
30,48,10779300
30,49,3099600
30,50,1877400
30,51,1315440
30,52,15120
30,53,126000
30,56,3600
30,57,2520
31,28,138600
31,29,1096200
31,30,18586260
31,31,127804320
31,32,759335220
31,33,2891649600
31,34,7920940860
31,35,15153778080
31,36,22221404730
31,37,25609003560
31,38,25477288200
31,39,22262446080
31,40,17096957640
31,41,11827194120
31,42,7373227680
31,43,4155526800
31,44,2121906150
31,45,1045800000
31,46,442525860
31,47,194672520
31,48,93315600
31,49,47824560
31,50,16111620
31,51,7209720
31,52,2223900
31,53,2230200
31,54,695520
31,55,272160
31,56,141120
31,57,23040
31,59,5040
32,32,20475
32,33,201600
32,34,3477600
32,35,41766480
32,36,279713700
32,37,1216436760
32,38,3529632960
32,39,6898099320
32,40,9948106350
32,41,11514925800
32,42,11273154480
32,43,9696002400
32,44,7380058140
32,45,5010453000
32,46,3027376800
32,47,1645015680
32,48,865445490
32,49,372786120
32,50,167411160
32,51,79493400
32,52,30702420
32,53,11468520
32,54,10073700
32,55,2449440
32,56,1256850
32,57,128520
32,58,279720
32,59,171360
32,60,94500
32,62,6300
33,36,2100
33,38,371700
33,39,3843000
33,40,51852465
33,41,296609040
33,42,1068820200
33,43,2446113600
33,44,3762556140
33,45,4557403200
33,46,4665500700
33,47,4061269800
33,48,3107569500
33,49,2110992240
33,50,1314298440
33,51,702689400
33,52,329260050
33,53,158083800
33,54,74719680
33,55,25522560
33,56,12743010
33,57,5317200
33,58,2173500
33,59,1174320
33,60,1008000
33,62,56700
33,63,12600
33,64,37800
33,65,15960
33,66,5040
34,42,12600
34,43,88200
34,44,2504250
34,45,29504160
